,"(0, 0)","(0, 1)","(0, 2)","(1, 0)","(1, 1)","(1, 2)","(2, 0)","(2, 1)","(2, 2)"
4658,,,,-81.0,,-81.0,-5.960000000000001,-81.0,
4685,,,,6.2,,,100.0,6.2,
4682,,,,-81.0,,,-9.0,,
10267,100.0,-81.0,,,,,,,6.2
10266,-9.0,-81.0,,,,,,,
4418,,,,,,-81.0,100.0,,
9771,100.0,3.7680000000000007,63.8,63.8,,63.8,,,
13728,,,,,-81.0,63.8,100.0,-81.0,
13809,,,,,,100.0,-81.0,-81.0,
7513,100.0,,6.2,,,,,,6.2
6785,100.0,,,,,,,,
14117,,,-81.0,100.0,,,,100.0,
9035,-81.0,-81.0,,-81.0,,-81.0,100.0,,
5674,,,-52.04,,-5.960000000000001,,,-52.04,-5.960000000000001
5675,,,6.2,,6.2,,,6.2,
5672,,,-9.0,,-9.0,,,,
6401,,,,,10.0,,,,
7396,-81.0,,-81.0,,63.8,,,,100.0
7477,-81.0,,-81.0,,,,,,-81.0
916,,,100.0,,,,,,100.0
11912,-81.0,,-81.0,-81.0,,,,-81.0,
9893,3.7680000000000007,-81.0,-81.0,-81.0,,,-81.0,,
9650,100.0,-5.960000000000001,63.8,,,,63.8,,
14163,,,6.2,6.2,,,6.2,,
13920,,,-9.0,,,,-9.0,,
13720,,,,,63.8,-81.0,,-81.0,-81.0
13722,,,,,-81.0,-81.0,,,
13803,,,,,,100.0,,,
9329,3.7680000000000007,-52.04,,,-52.04,,3.7680000000000007,-52.04,
9320,-81.0,-81.0,,,-5.960000000000001,,,-81.0,
9401,6.2,-81.0,,,,,,-81.0,
2840,,-9.0,,,,,,-81.0,
13926,,,-81.0,,,,,-9.0,
16858,,100.0,,,63.8,,-81.0,,-81.0
16859,,-81.0,,,100.0,,-81.0,,
16850,,100.0,,,100.0,,,,
16165,,-52.04,3.7680000000000007,,63.8,-52.04,,,-52.04
5304,,,-81.0,,,-81.0,63.8,100.0,
5313,,,-81.0,,,-81.0,,-81.0,
9209,-81.0,-81.0,,-81.0,,,,,
2648,,-81.0,,100.0,,,,,
15601,,-81.0,,3.7680000000000007,,-81.0,,-81.0,-81.0
6004,,,,,,,100.0,,-81.0
3353,,63.8,63.8,100.0,,3.7680000000000007,,3.7680000000000007,
2651,,100.0,,100.0,,,,-81.0,
16239,,3.7680000000000007,3.7680000000000007,,,-52.04,3.7680000000000007,3.7680000000000007,
7388,-81.0,,-81.0,,63.8,,100.0,,
8117,-81.0,,,,100.0,,63.8,,
2797,,100.0,,,63.8,63.8,63.8,,63.8
9776,-81.0,-81.0,100.0,-81.0,,,,,
9370,-81.0,-81.0,,,100.0,,,,-81.0
18480,,,100.0,-81.0,,,-81.0,-81.0,
18483,,,100.0,100.0,,,-81.0,,
2723,,100.0,,,,-81.0,,6.2,
2747,,100.0,,,,,,,
7711,3.7680000000000007,,63.8,-52.04,,,3.7680000000000007,,3.7680000000000007
7468,-5.960000000000001,,-5.960000000000001,,,,63.8,,63.8
5698,,,-81.0,,-81.0,-81.0,,,-5.960000000000001
5699,,,6.2,,6.2,6.2,,,
5753,,,10.0,,,,,,
10621,-81.0,-81.0,,-81.0,,,3.7680000000000007,,-81.0
10378,63.8,63.8,,,,,100.0,,63.8
10379,-81.0,-81.0,,,,,-81.0,,
10370,100.0,-81.0,,,,,,,
14223,,,-81.0,3.7680000000000007,-81.0,-81.0,,-81.0,
12180,-81.0,,-81.0,,,-81.0,,-81.0,
12909,100.0,,,,,-81.0,,100.0,
12882,100.0,,,,,,,-81.0,
17537,,,,,,100.0,100.0,63.8,
11766,-81.0,,-81.0,,-81.0,,,-81.0,
12495,-81.0,,,,100.0,,,-81.0,
14668,,,,,-9.0,,,,-81.0
14669,,,,,100.0,,,,
4763,,,,6.2,6.2,,63.8,,
3291,,63.8,63.8,-52.04,100.0,63.8,,,
1104,,,-81.0,-81.0,-81.0,-81.0,,,
16373,,-81.0,-81.0,-81.0,63.8,,-81.0,,
16292,,-81.0,-81.0,-81.0,,,-81.0,,
16087,,63.8,3.7680000000000007,,,100.0,,63.8,3.7680000000000007
12510,100.0,,,,-81.0,-81.0,63.8,,
15599,,100.0,,63.8,,-81.0,,,
15356,,-81.0,,,,-81.0,,,
6106,,,,-81.0,,-81.0,,-81.0,-81.0
6107,,,,100.0,,6.2,,-81.0,
9301,63.8,63.8,,,,,100.0,63.8,63.8
2740,,-81.0,,,,,-81.0,-81.0,-81.0
4927,,,,,,,100.0,63.8,100.0
12666,100.0,,,-81.0,,-81.0,,-81.0,
3124,,-5.960000000000001,100.0,,,-5.960000000000001,,,-5.960000000000001
3515,,3.7680000000000007,63.8,,3.7680000000000007,3.7680000000000007,,-52.04,
4136,,-9.0,,,,,,-9.0,
14079,,,6.2,,,,6.2,6.2,
9353,3.7680000000000007,63.8,,,63.8,-52.04,-52.04,,
2738,,-81.0,,,,,-81.0,,
9995,3.7680000000000007,63.8,100.0,,,3.7680000000000007,,63.8,
9968,-81.0,-81.0,-5.960000000000001,,,,,-81.0,
15350,,-81.0,,,,-81.0,-81.0,-81.0,
4057,,6.2,,100.0,,,,,-81.0
17776,,,,-81.0,,-81.0,-5.960000000000001,,-81.0
9147,63.8,3.7680000000000007,,3.7680000000000007,3.7680000000000007,,,-52.04,
9309,100.0,-81.0,,,,,,-81.0,
17619,,,,,63.8,100.0,-81.0,,
12504,100.0,,,,-81.0,-81.0,,-81.0,
12205,63.8,,100.0,,,,,,100.0
15750,,-81.0,,-81.0,,-81.0,-81.0,,
15759,,-81.0,,6.2,,100.0,,,
7724,100.0,,63.8,63.8,,63.8,,,
2606,,-5.960000000000001,,-81.0,,,-81.0,-81.0,
2615,,100.0,,-81.0,,,,6.2,
3592,,-81.0,-81.0,,,100.0,,,-5.960000000000001
11345,-81.0,,,-81.0,,,,-81.0,
11342,100.0,,,-9.0,,,,,
10987,-81.0,,,,,100.0,,,63.8
6427,,,,,6.2,6.2,,,100.0
16633,,63.8,63.8,,63.8,40.632000000000005,,,100.0
7025,100.0,,,-81.0,,,,-81.0,
8599,3.7680000000000007,,,,3.7680000000000007,,3.7680000000000007,3.7680000000000007,-52.04
8596,-81.0,,,,-5.960000000000001,,-81.0,,-81.0
15229,,,,,,,,,100.0
4079,,-81.0,,100.0,,6.2,,,
4052,,-81.0,,-9.0,,,,,
5539,,,-81.0,100.0,,-81.0,,63.8,-81.0
5512,,,-81.0,-5.960000000000001,,,,100.0,-81.0
17877,,,,63.8,100.0,,,100.0,
9857,-81.0,-81.0,-52.04,-81.0,-81.0,,,,
3870,,-81.0,,,,,100.0,,
6057,,,,,,,100.0,,
9542,-81.0,-5.960000000000001,100.0,,,,-81.0,,
1921,,,,100.0,,,,-81.0,-81.0
10077,-52.04,3.7680000000000007,63.8,,63.8,3.7680000000000007,,,
4035,,-52.04,,63.8,100.0,,63.8,63.8,
12745,63.8,,,-81.0,-81.0,-81.0,,,100.0
